"Shirt Size","Pct BF","Age","Weight","Height","Chest","Waist Size","Hip","Thigh","Knee","Ankle","Bicep","Forearm","Wrist","Test","Multiple regression predicted","Neural predicted value","Shirt Size Predictor","Boosted Tree Shirt Size","Random Forest predicted value"
16.5,34.3,35,228.25,69.5,114.9,45.629921,111.9,74.4,40.6,24,36.1,31.8,18.8,1,16.763163825,16.937649563,16.083333333,16.621711191,16.438104901
15.5,16.5,35,172.75,69.5,99.1,35.748031,98.1,60.1,39.1,23.4,32.5,29.8,17.4,0,15.14327966,15.119143629,15.4,15.191430941,15.338234044
15,3,35,152.25,67.75,92.2,32.244094,92.8,54.7,36.2,22.1,30.4,27.4,17.7,0,14.900586532,14.783587853,14.708333333,14.688061367,14.795452123
14,0.7,35,125.75,65.5,90.8,29.527559,89.2,50,34.8,22,24.8,25.9,16.9,0,14.015287384,14.172275692,14,14.140366159,14.098161765
15.5,20.5,35,177.25,71,100.5,35.551181,98.7,57.8,37.3,22.4,31,28.7,17.7,0,15.335561588,15.248223573,15.4,15.311209866,15.33475419
15.5,16.9,36,176.25,71.5,98.2,35.551181,99.9,59.2,37.7,21.5,32.4,28.4,17.8,0,15.339220587,15.300060636,14.964285714,15.293233967,15.202526299
17,25.3,36,226.75,71.75,115.3,42.834646,114.4,69.2,42.4,24,35.4,21,20.1,0,16.348003772,17.277847409,16.892857143,16.996555028,16.800297619
14.5,9.9,37,145.25,69.25,96.8,31.259843,89.2,50.3,34.8,22.2,31,26.9,16.9,0,14.505252737,14.497056182,14.964285714,14.708361234,14.607482008
14.5,13.1,37,151,67,92.6,32.755906,96.4,60,38.1,22,31.5,26.6,16.7,0,14.430001942,14.386807792,14.708333333,14.580545208,14.670834776
17,29.9,37,241.25,71.5,119.2,43.425197,113.9,69.8,42.6,24.8,34.4,29.5,18.4,0,16.698848372,16.55894624,16.083333333,16.329938856,16.57717803
15.5,22.5,38,187.25,69.25,102.7,36.496063,101.9,64.7,39.5,24.7,34.8,30.3,18.1,0,15.535802576,15.659176178,15.47826087,15.659500165,15.536703431
17.5,16.9,39,234.75,74.5,109.5,41.141732,109.9,69.5,43.1,25.8,39.1,32.5,19.9,1,16.975974661,16.93362251,16.892857143,16.968885084,16.832142857
16,26.6,39,219.25,74.25,108.5,41.181102,109.8,68.1,42.8,24.1,35.6,29,19,0,16.255767911,16.171741529,16.083333333,16.092749795,16.202957509
14,0,40,118.5,68,79.3,27.322835,85,47.2,33.5,20.2,27.7,24.6,16.5,0,13.873998672,13.804514777,14,13.796955898,13.924214878
14.5,11.5,40,145.75,67.25,95.5,32.913386,91.6,54.1,36.2,21.8,31.4,28.3,17.2,0,14.701166833,14.618179786,14.964285714,14.729972574,14.786258935
14.5,12.1,40,159.25,69.75,92.3,34.173228,96.1,58,39.4,22.7,30,26.4,17.4,0,14.694638338,14.489244003,14.708333333,14.406146197,14.693156205
15.5,17.5,40,170.5,74.25,98.9,35.590551,95.5,55.4,38.9,22.4,30.5,28.9,17.7,2,15.117133185,15.015303449,15.4,15.137560879,15.072672819
16,8.6,40,167.5,71.5,89.5,32.952756,98.1,57.3,39.7,22.6,32.9,29.3,18.2,2,15.166596296,15.111470362,14.708333333,14.925357731,15.015265048
17,23.6,41,232.75,74.25,117.5,43.031496,108.8,67.7,41.3,24.7,37.2,31.8,20,0,17.085941291,17.223313471,16.892857143,17.065322174,16.927678571
15.5,20.4,41,210.5,72,107.4,38.937008,104.1,63.5,39.8,23.5,36.4,30.4,19.1,0,16.485560607,16.537530901,16.083333333,15.980887199,16.038347652
16.5,20.5,41,202.25,72.5,109.2,38.582677,101.8,62.8,41.3,24.8,36.6,32.4,18.8,0,16.164206307,16.304749648,16.083333333,16.251022736,16.335589311
15.5,24.4,41,185,68.25,103.4,39.84252,103.1,61.5,40.4,22.9,33.4,29.2,18.5,2,15.711539262,15.686002372,15.47826087,15.648000102,15.633061371
15,11.4,41,153,69.25,91.4,31.732283,92.3,54.3,36.3,21.8,29.6,27.3,17.9,0,14.962102794,14.789804695,14.708333333,14.804355369,14.870005695
17,38.1,42,244.25,76,115.2,44.76378,112.4,68.5,45,25.5,37.1,31.2,19.9,0,17.077749706,16.901586908,16.892857143,16.985508878,16.883035714
16.5,15.9,42,193.5,70.5,104.9,37.047244,102.7,60.6,38.6,24.7,34,30.1,18.7,1,15.804359324,15.784914448,16.083333333,15.826217685,15.826088582
15.5,24.7,42,224.75,74.75,106.7,41.614173,111.8,65.3,43.3,26,33.7,29.9,18.5,0,16.019330228,15.918556062,16.083333333,15.70475445,15.928101054
14.5,22.8,42,162.75,72.75,92.2,33.700787,96.5,60.2,38.9,22.4,31.7,27.1,17.1,2,14.636379734,14.794653707,14.708333333,14.515416563,14.637288858
15.5,25.5,42,180,68.25,101.6,38.031496,100.6,61.1,38.4,24.1,32.9,29.8,18.8,0,15.639170094,15.669984802,15.47826087,15.612318083,15.535363831
14.5,22,42,156.25,69,97.8,33.858268,96.2,57.7,38.6,24,31.2,27.3,17.4,0,14.52694888,14.456026841,14.964285714,14.724430587,14.612832065
15,17.7,42,168,71.5,92,35.314961,101,62.3,38,22.3,30.8,27.8,16.9,0,14.654869049,15.002016401,14.708333333,14.713040009,14.861497387
15.5,6.6,42,167.25,72.75,94,30.708661,99,57.5,40,22.5,30.6,30,18.5,0,15.189017538,15.085725926,15.4,15.250789241,15.208963017
15,23.6,43,170.75,67.5,103.7,35.314961,94.2,58.5,39,24.1,33.8,28.8,18.8,0,15.606939834,15.518129313,15.4,15.3419735,15.246588635
15.5,12.2,43,178.25,70.25,102.7,35.11811,99.2,60.2,39.2,23.8,31.7,28.4,18.6,2,15.462867051,15.346263465,15.47826087,15.523103069,15.204694666
14.5,22.1,43,150,69.25,91.1,33.740157,96.9,55.5,35.7,22,29.4,26.6,17.4,0,14.466679177,14.366566584,14.708333333,14.480173907,14.623896001
15.5,28.7,43,200.5,71.5,107.2,40.590551,105.5,68.8,38.3,23.7,32.1,28.9,18.7,2,15.91577908,16.193652287,16.083333333,15.918740914,15.803136484
15.5,6,44,184,74,100.8,35.07874,102.6,60.6,39,24,32.9,29.2,18.4,0,15.288775709,15.390491597,15.47826087,15.578252299,15.56430351
16.5,34.8,44,223,69.75,121.6,44.84252,107.1,63.5,40.3,21.8,34.8,30.7,17.4,1,16.592240081,16.683566767,16.083333333,15.941587672,16.150392316
17,16.6,44,208.75,73,105.6,37.913386,102,63.3,39.8,24.1,37.3,23.1,19.4,0,16.145569849,16.564112354,16.892857143,16.451775903,16.608635351
16,32.9,44,166,65.5,100.6,36.968504,100.1,58.9,37.6,21.4,33.1,29.5,17.3,1,15.195433205,15.189368809,15.4,15.228047871,15.370617285
16.5,32.8,47,195,72.5,102.7,39.88189,101.7,60.7,39.4,23.3,36.7,31.6,18.4,0,15.94730776,16.151610209,16.083333333,16.25863042,16.085243366
14.5,9.6,47,160.5,70.25,99.8,33.031496,91.8,53,36.2,22.5,31.4,27.5,17.7,0,15.060195157,14.903694076,14.964285714,14.639684457,14.706419083
14,10.8,47,159.75,70.75,92.9,33.228346,94,56,38.2,22.6,29,26.2,17.6,0,14.814934795,14.582215305,14,14.245554478,14.386132722
14.5,7.1,49,140.5,68,91.2,31.259843,89,51.1,35,21.7,30.9,28.8,17.4,0,14.700700819,14.675545158,14.708333333,14.500199199,14.552920944
16.5,27.2,49,216.25,74.5,115.6,40.944882,109,63.7,40.3,23.2,36.8,31,18.9,1,16.347856142,16.419755312,16.083333333,16.365102359,16.366640899
15.5,19.5,49,168.25,71.75,98.3,35.314961,99.1,56.3,38.8,23,29.5,27.9,18.6,0,15.136119323,14.961325931,14.964285714,15.151935867,15.058308612
16,18.7,50,194.75,70.75,103.7,38.425197,104.2,60,40.9,25.5,32.7,30,19,0,15.758288796,15.738153299,16.083333333,15.912628514,15.997453378
15,19.5,50,172.75,73,98.7,34.488189,96.1,57.1,38.1,21.8,28.6,26.7,18,0,15.265910599,15.081602028,14.964285714,15.052630353,14.997432732
16.5,47.5,51,219,64,119.8,48.070866,112.8,62.5,36.9,23.6,34.7,29.1,18.4,0,16.478016401,16.750849299,16.083333333,16.400569594,16.28627667
14,13.6,51,149.25,69.75,92.8,31.929134,96.3,53.8,36.5,21.5,31.3,26.3,17.8,0,14.597561808,14.446254403,14,14.492319728,14.450214028
15,7.5,51,154.5,70,93.3,32.086614,94.4,54.7,39,22.6,27.5,25.9,18.6,0,14.924084382,14.569285703,14,14.752789547,14.831210561
16,24.5,52,199.25,71.75,106.8,39.370079,105,63.9,39.2,22.9,35.7,30.4,19.2,0,16.183764607,16.3134927,16.892857143,16.348037231,16.178037278
15.5,15,53,154.5,69.25,93.9,34.92126,94.5,53.7,36.2,22,28.5,25.7,17.1,0,14.59334153,14.429811409,14.964285714,15.036429234,15.028702058
15.5,12.4,54,153.25,70.5,99,36.141732,96.2,57.7,38.1,23.9,31.4,29.9,18.9,0,14.911973007,15.15877874,15.4,15.436485618,15.348310574
17,26,54,230,72.25,119.9,43.464567,105.5,64.2,42.7,27,38.4,32,19.6,0,16.879772011,16.836252045,16.892857143,16.997227849,16.83452381
15,11.5,54,161.75,67.5,94.2,34.488189,95.6,59.7,40.2,23.4,27.9,27,17.8,0,14.964495083,14.934141703,14.964285714,14.944759104,15.000281371
14.5,5.2,55,142.25,67.25,92.7,32.598425,91.9,54.4,35.2,22.5,29.4,26.8,17,0,14.369922667,14.456967557,14.708333333,14.559907758,14.68004952
16.5,10.9,55,179.75,68.75,106.9,37.519685,98.2,57.4,37.1,21.8,34.1,31.1,19.2,0,16.139504017,16.25613051,16.25,16.279072015,16.0815095
13.5,12.5,55,126.5,66.75,88.8,30.787402,87.5,50.8,33,19.7,25.3,22,15.8,2,13.818431139,13.789811291,14,14.028783854,14.054114146
15,14.8,55,169.5,68.25,101.7,35.866142,97.1,56.6,38.5,22.6,33.4,29.3,18.8,0,15.591940222,15.527699355,15.4,15.331475334,15.187128601
15.5,25.2,55,198.5,74.25,105.3,38.070866,106.6,64,42.6,23.4,33.2,30,18.4,2,15.677613666,15.976904894,16.083333333,16.083648983,16.17574136
15.5,14.9,56,174.5,69.5,104,35.19685,98.4,58.4,37.4,22.5,34.6,30.1,18.8,0,15.689359517,15.797026812,15.4,15.504193863,15.518910064
15,17,56,167.75,68.5,98.6,36.614173,97,55.4,38.8,23.2,32.4,29.7,19,0,15.536605536,15.472557765,15.4,15.295461219,15.283195778
14.5,10.6,57,147.75,65.75,99.6,34.015748,90.1,53,35,21.3,31.7,27.3,16.9,0,14.825374575,14.744388786,14.964285714,14.765597328,14.824573845
16,16.1,57,182.25,71.75,103.4,38.070866,100.7,59.3,38.6,22.8,31.8,29.1,19,0,15.712524486,15.773416811,15.47826087,15.685652832,15.665544364
15.5,15.4,58,175.5,71.5,100.2,34.685039,97.8,57.1,38.9,23.6,30.9,29.6,18,0,15.289887668,15.48898482,15.4,15.26875222,15.354007853
14.5,26.7,58,161.75,67.25,94.9,37.362205,100.2,56.8,35.9,21,27.8,26.1,17.6,0,14.937536453,14.866407523,14.964285714,15.090331494,15.056579817
16.5,25.8,60,157.75,67.5,97.2,36.732283,94,54.3,35.7,21,31.3,28.7,18.3,0,15.387849272,15.389367477,15.4,15.527077314,15.327477241
15.5,18.6,62,168.75,67.5,104.7,37.637795,93.7,54.4,37.1,22.7,30.3,26.3,18.3,0,15.459364633,15.322708815,14.964285714,15.376541177,15.350705929
16.5,24.8,62,191.5,72.25,104,38.661417,101.1,59.3,40.3,23,32.6,28.5,19,0,15.923270887,15.901271038,16.083333333,15.927202648,15.970880249
16.5,27.3,63,219.15,69.5,117.6,44.80315,111.8,63.4,41.1,22.3,35.1,29.6,18.5,0,16.469012733,16.156282799,16.083333333,16.374095665,16.308300479
15.5,12.4,64,155.25,69.5,95.8,32.598425,94.5,61.2,39.1,22.3,29.8,28.9,18.3,0,15.059344264,15.505682598,15.4,15.218688255,15.242593969
16.5,29.9,65,189.75,65.75,106.4,39.566929,100.5,59.2,38.1,24,35.9,30.5,19.1,0,16.204118665,16.24290584,16.083333333,15.944841531,16.097177017
14,17,65,127.5,65.75,93,31.377953,87.6,50.7,33.4,20.1,28.5,24.8,16.5,0,14.176497256,14.117811979,14,13.972165511,14.135661765
16,35,65,224.5,68.25,119.6,46.456693,114.3,61.3,42.1,23.4,34.9,30.1,19.4,0,16.743807858,16.344759171,16.25,16.342500162,16.352040816
17,30.4,66,234.25,72,119.7,42.913386,109.1,63.7,42.4,24.6,35.6,30.7,19.5,1,17.044455706,16.757617061,16.892857143,16.779953514,16.646031746
17,32.6,67,227.75,72.75,115.8,44.645669,109.8,65.6,46,25.4,35.3,29.8,19.5,2,16.636423109,16.316191644,16.892857143,16.466862344,16.568055556
16.5,29,67,199.5,68.5,118.3,41.771654,101.6,58.2,38.8,24.1,32.1,29.3,18.5,0,16.112645919,16.087600825,16.083333333,16.163718469,16.158746908
15,15.2,68,155.5,69.25,97.4,33.188976,94.4,54.3,37.5,22.6,29.2,27.3,18.5,0,15.029941855,15.067263225,14.964285714,15.081465821,14.945187507
16.5,30.2,69,215.5,70.5,113.7,42.362205,110,63.3,44,22.6,37.5,32.6,18.8,2,16.576834498,16.488589064,16.083333333,16.250416932,16.36819277
14,11,70,134.25,67,89.2,32.913386,88.8,49.6,34.8,21.5,25.6,25.7,18.5,0,14.731692134,14.539228109,14,14.343019142,14.357868724
16.5,33.6,72,201,69.75,108.5,41.338583,104.5,59.6,40.8,23.2,35.2,28.6,20.1,0,16.486355035,16.301009458,16.25,16.426489726,16.343707483
16,29.3,72,186.75,66,111.1,43.897638,101.7,60.3,37.3,21.5,31.3,27.2,18,0,15.853108308,15.879749921,15.47826087,15.727373712,15.749350649
16,26,72,190.75,70.5,108.3,39.88189,97.8,56,41.6,22.7,30.5,29.4,19.8,0,16.423045046,16.265821923,16.25,16.146755613,16.122066327
16.5,31.9,74,207.5,70,112.4,42.716535,107.1,59.3,42.2,24.6,33.7,30,20.9,2,16.707571167,16.538572814,16.25,16.393960053,16.399277211
